台灣,#genre#
廣州新聞,tvbus://3rB9rCeoz6zsemfdGBMnLfaYRs42cfxiVG7vshK2AfAYJXDAnh
廣東新聞,tvbus://4fVmGJMGvVdC8jmxCG9U6cKULNY4nw2LApnc1ZTaB9BNaaWdrQ
湖北衛視,p8p://0198.02686.cc:16871/5d1a69ca000aab2e11be34ec8f51752f.ts
廈門衛視,tvbus://46s8jTgJdbe1ekwJWu4HGi42J8EsW4nNQAbw3JMZVrArgNbzQh
海峽衛視,p8p://0198.02686.cc:16871/5d1a69c90003979611be2f349334f159.ts
CCTV懷舊劇場,p8p://0198.02686.cc:16871/5d1a69a20001626a11bd964cbfa22b6d.ts
廣東影視,p8p://0198.02686.cc:16871/5d1a69be000cbc8011be06933cb2c566.ts
珠江電影,p8p://elive.looktvb.com:16868/5bfa722c000bbe227303188e23c37eb7.ts
都市劇場,p8p://elive.looktvb.com:16868/5bfa722c0001f6957303160d2e606e65.ts
福建衛視,p8p://0198.02686.cc:16871/5d1a69cd000a2ae111be4083db3c2b82.ts
廣西衛視,p8p://0198.02686.cc:16871/5d1a69bf0008cdae11be097a09df2a20.ts
中華美食,p8p://0198.02686.cc:16871/5db8e9a9000094a0c6720b9777392965.ts
高爾夫,p8p://0198.02686.cc:16871/5dbcdf7a00025eced5ea4474b158bfb0.ts
全紀實,tvbus://3knonrPB5hdoaXrhruQ3Uejipvcx1BSNmY4BYATjPPRTX2gZTQ
國防軍事,p8p://0198.02686.cc:16871/5d1a69b60000b97a11bde440d561af4b.ts
四海釣魚,tvbus://38ivSwsRMcSB1NDWLzjrgthLemEYA6HunDWDywVjgjMJWBsUJy
星空衛視,p8p://0198.02686.cc:16871/5dd7dfb30006e8e23f63244664fc942d.ts
河北衛視,p8p://0198.02686.cc:16871/5d1a69c7000bf64e11be298959e31717.ts
第一財經,p8p://0198.02686.cc:16871/5d1a69df000139dd11be8489e1d7a141.ts
愛奇藝,tvbus://3KdQmsHHv9grz9X5HeAPsWjjXvaXqSpCMYoQioBhLoMMahvcWv
體育/sport,genre
緯來體育_HD,tvbus://2z433RhP2nY9CDpLhVWhHXs3iwUxRZbu7mZeHBb4DSPZ3Zn736
FOX_運動_HD,tvbus://4s9mLzSWMnD3kLXGTJHZPhefn7DnuKugcVuzm6sdRgQNEEvd8U
FOX_SPORTS_2,tvbus://3tu3LpWa2nW5We4s5oK9VGxd8RTuKmCtEWWVVNDrn8L69a6uq4
Eleven_Sport1,tvbus://4TizJNEWymEBKVE9c9xfZrCmz5iFyvNtDFza3woFeEEtYmo2ww
Z頻道,p8p://0198.02686.cc:16871/5d1a69ac000bbbd711bdc002921c2017.ts
新視覺,p8p://0198.02686.cc:16871/5d1a69dc0002242811be790dbf0a1a04.ts
Fight_Sport_HD,tvbus://3gBnteokbKtEaSmUghYH6UPxpxEbHSd9n7iKY26KqwkosGBV7w
華視體育臺,tvbus://3cG3v1uXp8ABHDkVnSNPB28wgYBxhQX3dkHDkd5sS6zCWgqDrW
愛爾達體育臺,tvbus://2wuitocZ2KkcowAcNFkGyHxiAzMRR1efgXsQk4AHMQweVaQS3s
愛爾達體育2臺,tvbus://4SN61Uu7YEEb7cnWNwTdV4xuZMgBKvp9AGAarScuVXQvRJxTtf
愛爾達體育3臺,tvbus://3zRV3nyBBU25Kag1D7C4LQ2td3QLqQ5chdnE4G4QFybRRJDUgp
高爾夫美國,tvbus://3ZYKkRXhwFXsEdFoV1Cb8Fj95kot212UUprnBdHCdQnaFcSnVn
NBA,tvbus://3CV92y789NguFBLqxLfeENKxQKyoodM1NftH8uYwMjtP5zKzCF
Eleven_Sport2,tvbus://2ya32EtoX5shs7wC1eMwxMQuoNZqAQYtY1boFdM2jf3Kn772vT
BBC_Lifestyle_Channel,tvbus://3srSDfzwBRja3fCBKByF9EYzMGT5zaQWhzXkjktUXNZgT4d36x
博斯運動II,tvbus://4BE2WmJCZKGELVSddfwrVxayN1VxHQLt6MJ9e5jZi9cdGDzfbp
FOX_SPORTS_3,tvbus://3h9WDkiGgWhPQECA8QZyqRT2xUtGv6uHd2LRav4Ss18NFcw7QD
Golf_Channel_(博斯高球),tvbus://45C3vexNFYjxcsScs96xxkBUhPFs7R7uhuxSMwByfimXcBHwkf
Golf_Plus_(博斯高球二臺),tvbus://4XFVnGyp5PSGYrUXKAQZs2tGad8TmTwJKRxnxuttGpk6AijB6R
博斯網球,p8p://0198.02686.cc:16871/5d4c07370004e10e9fd599bbf1aae42b.ts
博斯無限,p8p://0198.02686.cc:16871/5d4c081b000532c99fd9146f1abdcff3.ts
SkyNetsportsHD,tvbus://3QrbcuNw2fFPU5QfNN8m7M3bytvup6wzWUttZbfFbHNogUiAdD
Skynetsports1,tvbus://3fjoR42tNd2kHseDKsy1RHvDhYDUboesUZLKKEVm7iyniY7zBb
Skynetsports2,tvbus://4ffBWRYGPsdXPtMHmBQuiCJohhRtcgfKZyFu6ReWuiveZNoZpM
Skynetsports3,tvbus://3PQ4TsDKnjz7cLKV7xkU4JLjCjUAo9waDPd1qiumsDtDzraaM3
Skynetsports4,tvbus://3r13vZQVh97rSes9TcEjMf8DhaPcV4NPqW3yhGvpnpyG9xQtfw
Skynetsports5,tvbus://3QUxmSVj1Dek17MeGNEYLfie5VnFxaeoM3Y31Cdkee8CDkwq5X
Skynetsports6,tvbus://3BUxgyeqiW78HZ34y7RnCcwSzdCXfWroPTQUG37XK9Z68AfVkC
Skynetsports+,tvbus://4DaNjMewTbiHU5RwPwJhnW9U2fVYdbPDzbVXSjorJyNmv1Qd2o
SKY_SPORT_PREMIR_LEAGUE,tvbus://4BEWYakAAX1vFxWBRYQPaXwYEx6ECcpZ5yC1XK6QRTJFtZ4Ph3
SKY_SPORT_GOLF,tvbus://48PhCenDzXp2rKU9wqugMHw6iURz6cfboNf2hvuS2s11qDEppu
SKY_SPORT_ACTION,tvbus://3MmxVaWX6TqZ87GuxNRDjrc5A5P8vYCPeJGMhsGfK3vJzVL9MB
SKY_SPORT_CIRKET,tvbus://3WKKAeJGD5xQR4Suog8QR9kquEEnfu6XxzN9Seu5yJi3WFU1FH
SKY_SPORT_MAIN_EVENT,tvbus://3gx3XcEeYGZ1DQxNG9NzVYEPmgKPLD2aLNgCV8rAe8jq4B1Zbv
TSN_2,tvbus://4bbewUA52M5opbPVcaaoxNQSrNfuJ4Q3LBhX9LwcLbHB5x2a3J
TSN_3,tvbus://4Byh5MpvkbRpupJkfbTsk2c9Sn3PjzHBqEgftuHLkjcjrMqUHP
TSN_4,tvbus://3EQqF7cVnPB4e2k32pKvfbaLbkssEJ1mTHqcexyvwq4TzSnynj
TSN_5,tvbus://4kcDN1gHpMSfjcRT7qXJBa5Jz9oRJ8Pc8RZq1Se7RF7148UVEL
ASSP1,tvbus://4N4K4T6w98gA6nRqJT3B9aXbcGKHN1pRcmw7wt9dJPFBz8tNmf
ASSP2,tvbus://2zoA3d5r5AEVC4Fc4x7dw7sv6QHBYuRCSQL5P5i6bCdL7pBjWo
ASSP3,tvbus://4joCnuRjN5oHfX9hX18vtTqPcjfkzVP2QhTXRGUdvCb2RLX3Vh
ASSP4,tvbus://3e9R54cQEp68yZuMgKAKe4M3FaWgucaGEAPEGkRWHikivq7y5t
ARENA,tvbus://4KPJHaCMqtjB8cBJDNieQKtUECb9467TNsdfSPS9cL64yJBPPN
now sport prime,tvbus://3uEWvczEzfF8ZRzBh1YYaP76zdHhqw6ZMWqkBJCSedb4oXFt2S
有線體育,tvbus://4i5jLEWEzxnQbezFuJRwgJTuVnRnAniDYC7WxeJLdskPhCTYvE
CCTV5,p8p://0198.02686.cc:16871/5d1a699e00076fa011bd88384bd1ad68.ts
CCTV5+,p8p://0198.02686.cc:16871/5d1a699d000b786b11bd85591a37419d.ts
廣東體育,p8p://0198.02686.cc:16871/5d1a69bc000974fd11bdfdedd4967d61.ts
深圳體育,tvbus://43y8XXc21Mhm3yjZohexBhHDVFS5Dmajx9USwZeqXa7mjP8mwj
五星體育,tvbus://3CHZBnTGEpZG7cg1XAB3kcxc91vXdgpgyTzWWrBv1KSwzzdR57
高爾夫,p8p://0198.02686.cc:16871/5dbcdf7a00025eced5ea4474b158bfb0.ts
SPOTV2,p8p://0198.02686.cc:16871/5e1093bd000209541ce26a16987b79a3.ts
Espnu,p8p://0198.02686.cc:16871/5d8f307a00050e002376ad2453f15254.ts
NBA,tvbus://4ZKDRiWYARQobXSf8W1U6FEuNKaffurNhr8cXeL1AWWHod3g6u
Eurosp2,tvbus://3yNK4nvaDdkPTYt6ms76nhJ1sbgceSpPtiMjnmg3eDm1iHoESM
Espn,p8p://0198.02686.cc:16871/5d1a69780009978d11bcf455a30b876a.ts
Eurosp1,tvbus://31CHRxRZQjmtPdJnMEyg3LpPtrLXSm3Wo1geNJigU6bjrUYXpq
CBSsprotsHD,tvbus://3zYPKFM5n9rCkJZ893NMd7ZHjvyt2smP2m2i2NQ7idzN9cqb8o
NBCSportsHD,tvbus://3fNBnMQdR9ZGkcAYZXRcNC9kUsdyv6Xr9MpUNRXApWPoKL7EVP
MLB,tvbus://3yGzcFs9vHzFBf8SJUjn1kr3pKPADzMsv9G8UKq1asnE4cBpEE
Golf,tvbus://3twCjMYnve2oPBJebPf36xQQCzTdvqvC3iciB7ArKY2xCD3MVR
ABC7,tvbus://49h36tarzpDbamNqRU8tsgw8KFCU74eoNvsXgPZ6zgfQ1Zsmm3
ABCHD,p8p://0198.02686.cc:16871/5d1a696200050e9f11bc9d3cb1d3a565.ts
ABC-NEWS,p8p://0198.02686.cc:16871/5d1a696300009fd311bca002a1e12728.ts
ACTION-MAX,p8p://0198.02686.cc:16871/5d1a6963000ba36f11bca2d48d62b2ad.ts
AE-HD,p8p://0198.02686.cc:16871/5d1a696400072d7811bca597e0dd7a76.ts
AMC-HD,p8p://0198.02686.cc:16871/5d1a6965000287cf11bca84f14c84ff7.ts
ANIMAL-PLANET,p8p://0198.02686.cc:16871/5d1a6965000da65111bcab275e29e995.ts
BEINSports01,tvbus://4D7G59RqfUfyRPxhUZy5Q97uvs5aKVYDzF3pMcS17QecnstQ9z
BEINSports02,tvbus://319CYRLqd8wi4BNkXpLt5MFdjNZcSFCC66ipUDRJDQE3Vb3P2j
BEINSports03,tvbus://3NKKyfodJKjdegNhQSYqY74QCxZpdrrHQLJfC2AfLKVNmKZadN
BEIN-SPORTS,p8p://0198.02686.cc:16871/5d1a696a00035ba411bcbc0de901e12a.ts
CARTOON-NETWORK,p8p://0198.02686.cc:16871/5d1a696d0001979411bcc7516aeb2236.ts
CBS-HD,p8p://0198.02686.cc:16871/5d1a696e0008b29f11bccd0ba35fcc88.ts
CBSN-HD,p8p://0198.02686.cc:16871/5d1a696f0004c63611bccff23b1319e7.ts
ESPN-2,p8p://0198.02686.cc:16871/5d1a6977000e2bcf11bcf19a3cdc6db3.ts
FOX-SPORTS 1,p8p://0198.02686.cc:16871/5d3dbde900063ceb68074164e80ad397.ts
FOX-SPORTS2,p8p://0198.02686.cc:16871/5d1a6980000a5de111bd13c8299365a8.ts
SCIENCA,p8p://0198.02686.cc:16871/5d1a69e9000419a411beac56677fc008.ts
STARZEAST,p8p://0198.02686.cc:16871/5d1a69ea000ad1c711beb1f6f97cd3db.ts
SYFY,p8p://0198.02686.cc:16871/5d1a69ec0001f0cd11beb7809bed1b1e.ts
NBC_Sports_Chicago_Plus,tvbus://3hJEuvdqDThUDPxBpYpAUAYSoTJGaSZnrS1UuWtV9t3tjKXyuz
NBC_Sports_Network,tvbus://2z8fgFoKwDL2yVW8YRij5K5KxdN9E2GnncK8zw88u4ksM1E1zi
NBC_Sports_NorthWest,tvbus://3y9qbfaWHXpWaRvWcTRA2TjLhVE43HXiByVGkampwPa1ADj3yy
NBC_Sports_Washington,tvbus://3faBxuCeonmRdy88q9pJj3mdgB2b5f34W4TfQEj4R78pqRmj9w
MLB_Network,tvbus://4htAw3pG4QWnp3cPsTov44cCYmffFR72Gn5wCLFANN3udjjXe9
Sky_Sport_F1_HD,tvbus://3X5H59TDBsUFCZQCjkUyHhwZ4oK3e8ErMh6eEjiCXS5jAZKp52
NBC_Sports_Boston,tvbus://3zRmqVLek1wx3XZoFjtnCQE9Ps9vfy9kYWM7CBk4ijmN13Xdqn
ESPN_2,tvbus://4LtquvthKvGx4q6n8yapbWQnUwKF8DQif76nteMrc3BLv5djZS
NBC_Sports_Bay_Area,tvbus://4A1ApiVQK5keRx7ekNsn38XUEoiDTDnWKrjGTK53EGkBVsrjFC
ESPN_U,tvbus://3LmjBZNsfKeuSnopPUBaXPWkNENjK26Qg6SjhpW848RuVeE7zg
CBC|HD,tvbus://3pX4rNcG6jGbzxdpVoTwfMtrpEmpP4LRCGxHiZ18grbYHDJmL9
CBC_MONTREAL|SD,tvbus://2zKF5ysXiDbUwTa15CoDSSJg6SZysHWAcb2RzKywpnFBdsJfyj
Star_Gold,tvbus://3xubdZaFEbV5YpCxT3Jbfag8r8bxd3eeTAAhtkamCTaKH5YFg7
ABC|HD,tvbus://3wpBb26uBjWZKeUzK5hMgrkkAPG8NVKfTsq32wroyRgwDyc7UD
BT_Sport_Extra_2,tvbus://4ccquAAr9arWAgcXQXsM1GAJ45yxyEn7HGV64TQCeL9xfWDxXi
K+PM,tvbus://4dTGdtU4CP3TT55VMsZq422Aa7Gr8vZp8HTYhSozcDKS6GBaXU
K+NS,tvbus://42GDZyTpnnvw5euarr9sLSB8CQqDwiVJE4aQc5RSUQS7zi3psT
ANC（HD）,tvbus://4kBfpp6LZcfkTZwpGQRSFaY1hg3WnTXhzE9WJvDuQ1vQhdHD1J
us-ESPN,tvbus://3K1ZvHSKTeV3vV7u2YL5HhWA2UUGf6Jz1FXcScxTSKAXSX1EWd
BEIN_SPORT1,tvbus://4D7G59RqfUfyRPxhUZy5Q97uvs5aKVYDzF3pMcS17QecnstQ9z
BEIN_SPORT2,tvbus://319CYRLqd8wi4BNkXpLt5MFdjNZcSFCC66ipUDRJDQE3Vb3P2j
Beinsports_3,tvbus://3NKKyfodJKjdegNhQSYqY74QCxZpdrrHQLJfC2AfLKVNmKZadN
Beinsports_4,tvbus://3iRhsTq1JYEqcKrRqPV2YsQGzkdgNxFvJ7m3GjJwuDJXhfrFLV
BEIN_SPORT5,tvbus://3in4gNtHHpxdaKxkmhnRUsjvM1PRTZzyZGoFcBm1dhMpHn1zhr
BEIN_SPORT6,tvbus://4g6Neerp9i79Pc41aRtd7Uk2ZrjSSMCKKaVenfbVN3JD92AeNT
BEIN_SPORT7,tvbus://4FE182XvcW8Z9QTsaHa1gSCSbwmK2nuxS5EHzj1zSB5pAKUXTF
BEIN_SPORT8,tvbus://4GBikV8cLEkF7Qvygccv3boovrbhRwq3v5xE5PGV6qrEUuwpPe
BEIN_SPORT9,tvbus://3X7hgN5zEf7S1GxHiDE34QoPGx6S53ALhfsNphetjHeKoYbgYk
BEIN_SPORT10,tvbus://4ai7HihdoTMZ1Vyprfk3ePYQugQ3d6aQff3axyk57f2pNYg49z
BEIN_SPORT11,tvbus://4oGU3APwUghJ7JkdYP5MqegUBNy4Sa9cs6VMTPeihRYmQS2iRL
BEIN_SPORT12,tvbus://4MqBfewDm9TxYy8nCMVYC4MhKdgCsV9PTG5KrYZXzfF4TDhgZq
新聞/News,genre
CNN_國際,tvbus://3TzruULpqcD5bjBjWBmUY4UdqH8eboy88JrU4LgXJHsqoJBdbq
SKY_NEWS,tvbus://49PQ4VKSjCzQnfhcSmRJaXhfpymuTJSjBhZbKN6NXqAnWXdiCn
壹電視新聞臺,tvbus://3vV62mq6ySuAqMTWa5CMu5D3cCvHJW6R9ovGD8NFZ5Frnoi3yw
年代新聞_HD,tvbus://3NVN5WuzZZYTo9SY6e5FwiunwasivY5tYQQhxXtvni3WfebGEQ
東森新聞_HD,tvbus://4RhcF47U5m1uZGwmN5a3ZYRhh9XAZKgxFYrrHjL5sDte3wf3bD
中天新聞,tvbus://3YxGkBY7FXC8C7f8s8KS4kXx7HzrJH9TuZUMYNvQ7mdRJRmefn
民視新聞臺HD,p8p://0198.02686.cc:16871/5d1a69c50008f95211be20f5ac2747e5.ts
三立新聞_HD,p8p://0198.02686.cc:16871/5d1a69ad0006fe8711bdc2b3f14f64be.ts
TVBS新聞_HD,p8p://0198.02686.cc:16871/5db05ca40003699da50b30c835589bf5.ts
東森財經新聞,p8p://0198.02686.cc:16871/5d1a69c300063ae211be1871800a9ae8.ts
非凡新聞_HD,tvbus://3QaHJSx5sUy3jBB4nrWt9hSMPN5sqY844rGU3HxKhY9frgKGQW
東森亞洲新聞,tvbus://3ph7zLQhjdBpPWRm3ETUDLhxC1kuAfjM8FDxt8nuXh1vwZBb9Z
寰宇新聞二臺,tvbus://3sUW81UMFLkegQrzbuihwofCUTvhAu4fN7iKnC9u8FJijcmjkh
民視臺灣臺HD,tvbus://3HPyMYoibRtsxo79vMDXLKmaSMrXFYCNtSfAvuFYKanTzpuVEA
中視新聞HD,tvbus://4CyY2AjjqMuQE2X9J2dXTGrxc9aP77J2FimJe2mpyYJgPtz3st
寰宇新聞臺,p8p://0198.02686.cc:16871/5d1a69ba0007750411bdf59a5aa4b66d.ts
AEC,tvbus://4SVuMUx64b1gZV6BvWTdes5Cg5nSZYZUnRv9WuJ9LPhp2ShMtd
bernama news channel,tvbus://4pfqCNWaEpTkryHaR2MQkRsrE6Xuz99Cn7SjhXkM9zeTuBkxGM
Channel News Asia,tvbus://4FSwymJ6TrRpwtqQxF7ahj4FENGrEtQd5rP3skENG6tsrQkC27
無線新聞,p8p://0198.02686.cc:16871/5d1a69dc000d64b611be7bef5757286e.ts
RTHK31,p8p://0198.02686.cc:16871/5d495caf000f16ce956b79188dfc18de.ts
RTHK32,tvbus://3vqLa5eRdbsXvENdt3wBAQcCvTvKNRZM2kTNyA4P2FkSmpN23w
鳳凰資訊,tvbus://4Wj3KvuZsZT6uZi6hbi6Sv1WdmG1JeeybkKkcTMESvRczz4zF7
鳳凰衛視,p8p://0198.02686.cc:16871/5d8c9f670007a9fa196ffb97ed55bbac.ts
鳳凰香港,tvbus://3TnLG4CSBJC4D3NesXB6v4EhuRW33PeYMrNPrixpuz9Z8aYMrp
now直播,tvbus://3JGDpXioJpH6NRBQFeUgju8mCcYQUHiFYz6GRBkkSWnbGPRABS
now新聞,tvbus://3iBaeeta2PhkXUTh6G9jzKNjGn98D72gUnhB8QxsqnPr9JgXuB
CCTV1,tvbus://3sE7V4EfT4ABijrGMpfjy9JFa1cAbCrMaQtGfLRmpvJNrgbkrZ
珠江,p8p://0198.02686.cc:16871/5d1a69cc0002c11611be3ab59efd0c09.ts
廣州新聞,tvbus://3rB9rCeoz6zsemfdGBMnLfaYRs42cfxiVG7vshK2AfAYJXDAnh
NHK-World,tvbus://3RUDU7NFPZwDdgWVy4K7qHCFSR8Ap6Hz1BLrjMnZQn7XBK5KC9
CNN,p8p://0198.02686.cc:16871/5e1092f4000ba63e1cdf5b64b69687f8.ts
?? ??tv,p8p://0198.02686.cc:16871/5e1093a100039d8d1ce1fd1e22e108a0.ts
CTS25,p8p://0198.02686.cc:16871/5e10935c0000acfa1ce0eed59e742f2a.ts
TVB1,tvbus://3H8h85DgQQZ5Gukyq8MjeCDHhk79v5kbF27KzwGYadXnUqUSvR
foxbnews,tvbus://3ifEUyvkSmeiGaUDk7czat8zznAczSXQWTeHizsyS3wCekTE3L
新時代1,tvbus://3cLTqDAbeYRqD4dPR4MGfTRcJCs7QK45GLgSwxTadmUuCJDW4D
cp24,tvbus://3nDP1jXuQ5bGm43U2DPsGB9BCEW6jLqrYZKrjbauXW6trnzkVT
NOWTVHD,tvbus://3Ma7W7MTWYrFsqp8QPk6pMan4q6UJ1CtxkAeBbgetZ3dg9bC5y
TVBHDUSA,tvbus://4gUG5tPM3ihYT39rfVxsfbhLSPkN83LhBzHt7yx3VhnRFy37Z9
CnnNews,p8p://0198.02686.cc:16871/5d1a6972000da8dd11bcddf043353558.ts
cnn-news,tvbus://3by6BHbyRcfGjQ23X7uTUCQEhsivfsmYEnZ6prSLBzDDDDDooP
新時代2,tvbus://4Q236aRRFkHXbqgf7CewpzzT6Cq8BfjQWbPH4rnqWd1RTf7Mzq
CbcNews,tvbus://4hCvbmj4QxLyptd1d5xEeCLZcUixgcTczVWgbop4wLHXKXwLMD
BBC News,tvbus://4LX2TphafAN2t2YYPkL5AM944HiwLGYdddRm3zmzd7qA8UbtJM
BBC-AMERICA,p8p://0198.02686.cc:16871/5d1a69660009ae9211bcae0b3b66fb97.ts
CNBC,p8p://0198.02686.cc:16871/5d1a69720002ca3711bcdb2830f420fe.ts
CNN-HD,tvbus://4GdX4zPJrESdQSQ5q1DwfrzrYSZvRSJDu5whSpqvcjcCfQTFD1
ESPN-NEWS,p8p://0198.02686.cc:16871/5d1a69790005067111bcf7122cbdef5f.ts
FOX-NEWS,p8p://0198.02686.cc:16871/5d1a697f0002f4fc11bd0dfb9dd398c6.ts
BBC one,tvbus://4cM2NoYcKsH9FnHp3JznPSKUHthNNqsoEhxAzgmtXQ2wu6SLep
CTV_NEWS|SD,tvbus://47GddKc8JD245HNhiH1Vn18sZezxpfUzZfcnePPw4LMYyoxVk7
News_1,p8p://0198.02686.cc:16871/5d1a69e50009ada611be9e2382445a24.ts
Fox_News_HD,tvbus://44Uveahwdiaiwnnf9uUMzFDo7vLnwjCTuvL5Y7YuredQLYLQGy
Star_Bharat,tvbus://4PSUEouDLr5nLVc9JpLiHxj8skUiYkJCmRCWG66pxmFtAqwqSm
Sahara_UP,p8p://0198.02686.cc:16871/5d3309be00059cd33e377943975457a0.ts
Zee新聞台,p8p://0198.02686.cc:16871/5d3306e000056e953e2c460708a8e2e4.ts
BIG_Magic_HD,p8p://0198.02686.cc:16871/5d3306dd000b7c0f3e2c3bdbaa2c7e3c.ts
NET25,tvbus://3tiU86b5feNpReNSqr99ktNJwxwjaWr9xdsWPXBSjZ3iCAf2Di
DZRHNEWS,tvbus://4ZyQav4Npodi8DZ7TZLeGa5ahqo5MzktuCrQUUtw9MWvnGFbKS
CGTN,tvbus://12WRKUDF1FLsaY1NEYMDtc6X64evVFFsxWwsebMBCC34e1NzBdV
電影/Movies,genre
愛爾達影劇臺,tvbus://4XaXTY5KrLbztAaGsyLAStwtuMBdsKBKVzWoMGf6xxifh42rnm
東森戲劇_HD,tvbus://48YdGGajPQbNsDGt7jePrtPkm13fqKxecE4L3n7LPernZnBCHg
八大戲劇,tvbus://4QUUE7V9TAw3qdn4kUQHhgSoHsTtExD7gvgtFQJocaDS53g5HG
緯來戲劇,p8p://0198.02686.cc:16871/5e0f37bd00040a5217930a9af969bce1.ts
靖天映畫,tvbus://4jtSeMcBnVxz8Z5h8cSFjjVh87y9a71vXVf38Vnq5oFYgM5WWF
三立戲劇臺,p8p://0198.02686.cc:16871/5d1a69f90000ad2611bee9f55d87748f.ts
天映經典,tvbus://4BcHjf7Z44izwKexb3XeVfNfvPyzBcbNnz1e9KXMs2hsLYBdBK
衛視電影臺,tvbus://362g7itCdNeuZhpE4USDtpkmYckdK6xNUfjR4ojCLofC3h8BHf
東森電影,tvbus://4JYzMG4LN9stqwmmHSYBrR5wJTruGvbZqJwAq2vWHGHex9TmRh
緯來電影,p8p://0198.02686.cc:16871/5d1a69ce0005e8e911be435423cf0509.ts
龍祥時代,tvbus://3D6awDkbpyHT1F6YXV45PZjo1hgc9FQ3TNoZZUBpcRrwm9qbA4
東森洋片,tvbus://4GGbsZaCaQq1aHdBViJw6aLHTUUeBpQ4d4XBj8BfkPp37ftrAN
AXN,tvbus://4XYR3iE6kxEzCUJdX9wH9QwbanGsRiGxnDcQDFe3zonYqTcRoX
好萊塢電影_HD,tvbus://4XE2pHPDHCBtNmYTBxyMxzJnfVaEf4KuhUYtGjNnHJ2V5ww9AT
CINEMAX_HD,tvbus://4X2gwa21hUoNkBr9UEvRAdEm1R3GWET5xJ6CPyaC457aWxvQnc
靖洋戲劇臺,tvbus://3HkzCcuncWtZ9kb2v8x9Wc4wwapC9kbB6Q3XujR2nhc4YUh3r4
FOX頻道,tvbus://4XKpAmX12gUpfoNgyuj4Xkg23qVm2obphvMqHaYNLrGCsT67Az
龍華戲劇,tvbus://44JkJ3K7MQMUSevBJeXmSkTYuwaNkH9u3D8skem44B2T1Vwp9o
龍華偶像,tvbus://4jC22JVuFZmhbNViRb7t64Zn6fCKDqRBAhVgu6ovEgmtmGNJmG
龍華電影,tvbus://3Br4SxtF9qJZCbUsPbhS6vJGMEqq37U1U9Jy6FRbfDeQwa5vVq
Fox_Action,tvbus://4Su8ndJXX73niHvh13r79J1qJjXHMzs6DNpAgMbBscGqRa7X92
龍華洋片,tvbus://4XtaxRv636ezcFPhqG7EjTFRbuszo3qhQnjqP8qKDGX1dgmJ2d
人間衛視,tvbus://4MoyMxALVMHiRCJfn8Pn1mq5yquGAaHGnTGpdZpyxEYWkUN1z7
靖天電影臺,p8p://0198.02686.cc:16871/5d1a69d4000d791711be5cb4cbc75c73.ts
美亞電影臺,tvbus://4A7AVjTaabYxh66cHDAUZWoBK82X6x6ZRiibxR8fFaLNuGT6TM
華納電影,tvbus://42BTgvztM8Es2arXFH7owx7hYBW9JQJqMFyExos9poRDP6uanL
EYE_TV戲劇臺,p8p://0198.02686.cc:16871/5d1a69a2000ca28211bd992d29a29542.ts
Cinema_World,tvbus://31BRiMcE1EP7GbRqvzws7xocppe4BtBxxULuWPzw1WynkfJpJE
FOX_CRIME,tvbus://4BejJUuD4UYoKYLi5mQrKsqX1cXBd8AJpSGjyTKjoYMPTTEYPw
影迷數位電影臺,tvbus://3PgAKztKWY7o9dumyKjK5fgFkQpCX79xTZAFXJJRLZaZQghyvW
CatchPlay電影臺,tvbus://3Gf1LeYcb8QpaTGzb6e9eE4Y7hJh7UiGQmxD1F8MTLYdqRoh4c
鴻基影劇臺,p8p://0198.02686.cc:16871/5d1a69d700008c5a11be651dc2bd3d52.ts
DIVA,tvbus://3pQ6C2JQ3bR9v3UdkXTU9rnU6EqnS4dBLA9eBEvocKShiJitnx
EVE,tvbus://3zaD3rfctgJgBQejewurNYV7rFCbU3hR3b5ARup8ZmidjJkre3
HBO原創,tvbus://4RTyk4dVWo7apvMisWAH4Tw3nqfWRc66o4qsBQbxaGTi8fU6Yi
HBO強檔,tvbus://4NFsHNryLgawzXAKBmQe8hBka7upyKPfi6VCXnmyLH2C7rkfcD
HBO家庭,tvbus://47rQKvQCtBXry5cRkueeZY3uzxujcazwJetcEqDpAdwK4Qyqdp
星衛HD電影臺,tvbus://34guiPCGPcVJyd7Hk4MohvAABtn9ZoQm3wJqDh4gPa65mV44Se
Star_Movies_HD,tvbus://4Ai97nbkyoP9UGswVqdmhkY5VuUhA6f2x9efVHzaCyo1CsivNQ
Fox家庭電影臺,tvbus://4tTnfWE32fHsTgzRSnBko3g57PhYgoJ6iooBoKWwR5ArdiNfYR
愛奇藝,tvbus://3KdQmsHHv9grz9X5HeAPsWjjXvaXqSpCMYoQioBhLoMMahvcWv
雙星,tvbus://3rFiNJAz46rgSXmmemXZieEhw9YUpYFq8NUKrvjxD1m97aHpeb
天映頻道,tvbus://4WHQf76S15vRHHESSF71mw9YbgeRMVe3iea5oMMGYNFpUZYJqZ
AOD,tvbus://3qM8pVubPhBSj3YQZrnYYrptmbrchftHEY3mAQeTdWSA82MJCN
BOO,tvbus://369jc3REyaTCiDKgkfU4QeyNFCb9WqrsjRQ98UViPN24e6hGAZ
FOX_Family_Movies_EN,tvbus://3z7R4Szc2qiKitw4NafPjENZKcGLXeEs9re4pzr8DW3EVsWWxB
明珠臺,p8p://0198.02686.cc:16871/5d1a69de0005348e11be81a666c79a56.ts
TVB星河,tvbus://2x1hbZ9nHnRxGmUz74sgiW6BfXNr3KFgbbLFgryHAEVvP7UfUD
